window_time,magnitude_avg,sma,max_accel,max_gyro,std_accel,jerk_peak,bpm,fsm_state,fall_detected,ml_fall_detected,ml_confidence,ml_backend
0.48,8.957140922546387,4.357378005981445,10.155508995056152,1.2600537538528442,1.1446795463562012,118.9027099609375,93,2,0,1,0.6247,random_forest
0.50,10.39942741394043,4.343082904815674,10.791657447814941,0.3823625445365906,0.5020444393157959,21.737337112426758,105,2,0,1,0.9288,random_forest
2.18,10.860115051269531,4.455442428588867,10.899304389953613,0.094932921230793,0.030843060463666916,0.2781867980957031,100,2,0,1,0.6493,random_forest
12.23,10.022507667541504,4.8805718421936035,31.35431671142578,2.5359060764312744,3.320495128631592,505.1248779296875,107,2,0,1,0.8623,random_forest
14.23,9.417132377624512,4.575027942657471,9.432146072387695,0.4377543330192566,0.01912008225917816,1.0976791381835938,168,2,0,0,0.3483,random_forest
16.18,9.433392524719238,4.584697723388672,9.435480117797852,0.08732959628105164,0.0009362376877106726,0.07128715515136719,88,2,0,0,0.33,random_forest
26.32,9.522329330444336,4.358464241027832,23.556142807006836,1.6285400390625,2.399646043777466,503.4422607421875,104,2,0,1,0.7867,random_forest
28.30,9.277993202209473,4.3016252517700195,9.288064956665039,0.1982395499944687,0.0052703251130878925,0.12917518615722656,84,2,0,0,0.3629,random_forest
62.35,10.261490821838379,5.113531112670898,42.44895935058594,2.048828125,4.009619235992432,946.6835327148438,119,2,0,1,0.7996,random_forest
64.26,9.453094482421875,4.649923324584961,9.65325927734375,0.37306204438209534,0.07630181312561035,1.8074989318847656,94,2,0,0,0.2778,random_forest
